time,city,type,epa_amt,local_amt,moea_amt
2016/9/1,南投縣,新購,4000,1200,10000
2016/10/1,南投縣,新購,4000,1200,10000
2016/11/1,南投縣,新購,4000,1200,10000
2016/12/1,南投縣,新購,4000,1200,10000
2017/1/1,南投縣,新購,4000,1200,10000
2017/2/1,南投縣,新購,4000,1200,10000
2017/3/1,南投縣,新購,4000,1200,10000
2017/4/1,南投縣,新購,4000,1200,10000
2017/5/1,南投縣,新購,4000,1200,10000
2017/6/1,南投縣,新購,4000,1200,10000
2017/7/1,南投縣,新購,4000,1200,10000
2017/8/1,南投縣,新購,4000,1200,10000
2017/9/1,南投縣,新購,4000,1200,10000
2017/10/1,南投縣,新購,4000,1200,10000
2017/11/1,南投縣,新購,4000,1200,10000
2017/12/1,南投縣,新購,3500,1200,10000
2018/1/1,南投縣,新購,3500,1500,10000
2018/2/1,南投縣,新購,3500,1500,10000
2018/3/1,南投縣,新購,3500,1500,10000
2018/4/1,南投縣,新購,3500,1500,10000
2018/5/1,南投縣,新購,3500,1500,10000
2018/6/1,南投縣,新購,3500,1500,10000
2018/7/1,南投縣,新購,3500,1500,10000
2018/8/1,南投縣,新購,3500,1500,10000
2018/9/1,南投縣,新購,3500,1500,10000
2018/10/1,南投縣,新購,3500,1500,10000
2018/11/1,南投縣,新購,3500,1500,10000
2018/12/1,南投縣,新購,3500,1500,10000
2019/1/1,南投縣,新購,3000,4000,10000
